Resultados para la semilla: 42
==================================================
Generación 01: Adaptación=5373.080000000027     , Tasa de Éxito=4.0%, Cromosoma=[9.498182515933435, 0.3589793804846284]
Generación 02: Adaptación=5358.560000000038     , Tasa de Éxito=5.0%, Cromosoma=[7.064626345172842, 0.11457642765023629]
Generación 03: Adaptación=5378.720000000022     , Tasa de Éxito=3.0%, Cromosoma=[12.29887534246437, 0.2670481243059475]
Generación 04: Adaptación=5394.040000000012     , Tasa de Éxito=6.0%, Cromosoma=[10.809432947264105, 0.3933502997429005]
Generación 05: Adaptación=5335.960000000038     , Tasa de Éxito=3.0%, Cromosoma=[10.980495720903118, 0.3787905692132845]
Generación 06: Adaptación=5226.92000000001      , Tasa de Éxito=1.0%, Cromosoma=[15.026593234886192, 0.4135027012423059]
Generación 07: Adaptación=5401.480000000022     , Tasa de Éxito=7.0%, Cromosoma=[9.48920479279652, 0.3099785033983853]
Generación 08: Adaptación=5363.960000000038     , Tasa de Éxito=6.0%, Cromosoma=[15.523476703925747, 0.3965107203387631]
Generación 09: Adaptación=5403.920000000058     , Tasa de Éxito=8.0%, Cromosoma=[9.03459866117839, 0.362935883601471]
Generación 10: Adaptación=5384.240000000034     , Tasa de Éxito=14.0%, Cromosoma=[9.320319991556026, 0.37786967738764665]
Generación 11: Adaptación=5335.280000000037     , Tasa de Éxito=7.0%, Cromosoma=[11.69756322112066, 0.3440612082195097]
Generación 12: Adaptación=5392.520000000027     , Tasa de Éxito=6.0%, Cromosoma=[11.422325088251846, 0.3809519373689387]
Generación 13: Adaptación=5281.360000000014     , Tasa de Éxito=3.0%, Cromosoma=[12.520035413427372, 0.4203961264964674]
Generación 14: Adaptación=5402.72000000003      , Tasa de Éxito=7.0%, Cromosoma=[11.460194982898187, 0.3805775018177848]
Generación 15: Adaptación=5241.84000000004      , Tasa de Éxito=2.0%, Cromosoma=[9.990892785204007, 0.38505966468346586]
Generación 16: Adaptación=5378.04000000003      , Tasa de Éxito=8.0%, Cromosoma=[17.253980822254242, 0.3883121067348448]
Generación 17: Adaptación=5356.120000000043     , Tasa de Éxito=2.0%, Cromosoma=[11.966269591486293, 0.43237486345606335]
Generación 18: Adaptación=5274.640000000034     , Tasa de Éxito=3.0%, Cromosoma=[11.966269591486293, 0.43237486345606335]
Generación 19: Adaptación=5349.7600000000075    , Tasa de Éxito=7.0%, Cromosoma=[19.02400681071842, 0.4107715509501281]
Generación 20: Adaptación=5259.640000000013     , Tasa de Éxito=2.0%, Cromosoma=[10.744967459692862, 0.4384614255622036]
Generación 21: Adaptación=5374.280000000017     , Tasa de Éxito=8.0%, Cromosoma=[12.131590192544841, 0.4154961010102787]
Generación 22: Adaptación=5418.360000000015     , Tasa de Éxito=4.0%, Cromosoma=[11.475906677160069, 0.41106108024583865]
Generación 23: Adaptación=5226.080000000014     , Tasa de Éxito=4.0%, Cromosoma=[11.727050967053387, 0.41672725793398163]
Generación 24: Adaptación=5387.320000000019     , Tasa de Éxito=4.0%, Cromosoma=[17.033333470913696, 0.5149644648847773]
Generación 25: Adaptación=5370.000000000022     , Tasa de Éxito=3.0%, Cromosoma=[4.279944204374095, 0.4306065765919683]
